nodeID,tau_HD,tau_bench,effective,seed_node
0,0.21149999999999985,0.2358385001242144,0.8968001403019624,0
1,0.23819047619047595,0.21612263397977682,1.102107964373431,0
2,0.45366666666666666,0.22803436198958588,1.9894662484568235,0
3,0.2523333333333331,0.2176060556312657,1.159587827651786,0
4,0.22366666666666654,0.23630775207698287,0.9465058369892233,0
5,0.4341666666666667,0.19612788920481228,2.2136916296145697,0
6,0.5,0.1999698065414977,2.5003774752176904,0
7,0.442,0.18605418657119022,2.375651997655408,0
8,0.39833333333333326,0.2432633178787025,1.6374574547731555,0
9,1.0,0.22110631872536632,4.522711091047962,1
10,1.0,0.23600845875436036,4.237136267394588,1
11,0.3316666666666665,0.20250324461862923,1.6378338396073033,0
12,0.3728333333333333,0.2463797445940303,1.513246691393668,0
13,0.31866666666666643,0.14716008035680167,2.165442325758677,0
14,0.28649999999999975,0.19454198145604393,1.4726898423450745,0
15,0.23216666666666647,0.2269652142729066,1.0229173990843616,0
16,0.4021666666666667,0.24941164165146065,1.6124614873778544,0
17,0.2914999999999998,0.21580310316304716,1.350768342657987,0
18,0.32683333333333325,0.20471058958962185,1.5965629036999394,0
19,0.5,0.535,0.9345794392523364,0
20,0.3036666666666665,0.190619170256267,1.5930541836816268,0
21,0.33666666666666667,0.24032156264377513,1.4009007887723433,0
22,0.26383333333333314,0.1992125712828838,1.3243809446075931,0
23,0.30666666666666653,0.2453774340137976,1.2497753426234892,0
24,0.24016666666666645,0.210926637465099,1.1386265364724533,0
25,0.2533333333333332,0.18997564366416825,1.3335042769017604,0
26,0.2068333333333331,0.2172631665979005,0.951994470908774,0
27,0.23049999999999987,0.2829221696614789,0.8147116935933193,0
28,0.2669999999999998,0.2329716354417641,1.1460622641623759,0
29,0.2576666666666663,0.25668094925907425,1.0038402437361924,0
30,0.2554999999999998,0.18394372021421204,1.3890118113434735,0
31,0.2158333333333332,0.24599968407660716,0.8773724004707266,0
32,0.26249999999999973,0.16375991839701515,1.602956343466182,0
33,0.3566666666666667,0.2121487043405811,1.681210676140063,0
34,0.5,0.515,0.970873786407767,0
35,0.39583333333333337,0.19303363501224463,2.0505925472947997,0
36,1.0,0.21093406800689712,4.740817874746065,1
37,0.5,0.53,0.9433962264150942,0
38,0.3961666666666667,0.21168130115498535,1.8715241474097322,0
39,1.0,0.24123083200952053,4.145407084449858,1
40,0.3608333333333333,0.21305843232543603,1.6935886056937588,0
41,0.4191666666666668,0.18742865207708956,2.23640655802328,0
42,0.3891666666666667,0.21859906586469088,1.7802759820920473,0
43,0.3703333333333334,0.1669484861017119,2.2182491257076213,0
44,1.0,0.15164657746624963,6.594280047121798,1
45,1.0,0.20229492729492726,4.9432776855649605,1
46,0.4358333333333334,0.23531087606225473,1.8521597498027575,0
47,0.35666666666666663,0.19454948263542013,1.833295374704487,0
48,0.4225000000000001,0.19749663916330584,2.1392769101789306,0
49,0.45250000000000007,0.14685410218197104,3.0812894789911596,0
50,0.32749999999999974,0.22018716326408636,1.487370994498918,0
51,0.38083333333333336,0.19824929844461095,1.9209819975213416,0
52,0.29516666666666647,0.2092013115090038,1.4109216837006435,0
53,0.45583333333333337,0.17700037146268763,2.5753241621271106,0
54,0.3253333333333332,0.226595968863521,1.4357419285304311,0
55,0.38000000000000006,0.2535920518875064,1.49846967667807,0
56,0.37583333333333324,0.20811526815625175,1.805890248528809,0
57,0.3683333333333333,0.2177192140777575,1.6917814759416898,0
58,0.37916666666666676,0.23952551354895105,1.5829907263268541,0
59,1.0,0.17473514388836967,5.722947185935615,1
60,0.3178333333333331,0.20985560216948085,1.5145334699077924,0
61,0.4191666666666666,0.1586787830027868,2.641605000583506,0
62,1.0,0.17594966508900936,5.683443611524468,1
63,0.36083333333333323,0.1946865028814744,1.8534070312671311,0
64,0.26233333333333314,0.19187570203612986,1.3672045524760412,0
65,0.41249999999999987,0.20100982978811033,2.052138447332784,0
66,0.41166666666666674,0.1808736132621332,2.2759907276804054,0
67,0.3741666666666666,0.2335726255502375,1.6019285898132343,0
68,0.4533333333333334,0.21679694237386546,2.0910504012162767,0
69,0.38699999999999996,0.23440615568443623,1.6509805336383299,0
70,0.3383333333333332,0.2361261003306458,1.432850213761068,0
71,0.4061666666666666,0.1737271275732814,2.3379576485275035,0
72,0.3363333333333332,0.23992377571923024,1.4018341130431602,0
73,0.37083333333333335,0.17796632543498506,2.0837275390551726,0
74,0.31683333333333313,0.2199177806320663,1.4406899361330474,0
75,0.2934999999999998,0.23222211815961816,1.2638761644498575,0
76,0.2998333333333331,0.22730927885102456,1.3190545271574234,0
77,0.2796666666666664,0.14504174141270915,1.9281805633516813,0
78,0.29766666666666636,0.260440061805608,1.1429373215586325,0
79,0.28916666666666646,0.1673061455848341,1.7283684688082297,0
80,0.5,0.535,0.9345794392523364,0
81,0.5,0.22997853116900735,2.174115981428538,0
82,0.23933333333333312,0.1871235097839376,1.279012635075516,0
83,0.24483333333333315,0.19097781558719057,1.2819988153103308,0
84,0.3179999999999998,0.19305074405880857,1.6472352984204415,0
85,0.25533333333333313,0.2048091665279165,1.246688991815852,0
86,0.23749999999999974,0.19209140800269056,1.236390541718936,0
87,0.23216666666666644,0.21132966425935173,1.098599515029479,0
88,0.3831666666666667,0.2999285028696793,1.2775266871956976,0
89,0.24566666666666648,0.1975535748973249,1.2435445260575393,0
90,0.3825,0.294720311130739,1.2978406494363453,0
91,0.28042857142857114,0.18678987876848838,1.5013049597625185,0
92,0.21366666666666653,0.19752410888774524,1.0817244936317887,0
