nodeID,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40,iter_41,iter_42,iter_43,iter_44,iter_45,iter_46,iter_47,iter_48,iter_49,iter_50,iter_51,iter_52,iter_53,iter_54,iter_55,iter_56,iter_57,iter_58,iter_59,iter_60,iter_61,iter_62,iter_63,iter_64,iter_65,iter_66,iter_67,iter_68,iter_69,iter_70,iter_71,iter_72,iter_73,iter_74,iter_75,iter_76,iter_77,iter_78,iter_79,iter_80,iter_81,iter_82,iter_83,iter_84,iter_85,iter_86,iter_87,iter_88,iter_89,iter_90,iter_91,iter_92,iter_93,iter_94,iter_95,iter_96,iter_97,iter_98,iter_99,iter_100
61,N,N,12,4,10,6,N,9,N,N,N,0,10,8,9,8,7,10,6,6,N,6,6,6,N,6,N,N,N,N,8,5,N,7,9,14,14,6,N,7,N,N,5,14,0,11,13,N,13,5,11,3,13,11,N,N,9,N,4,5,8,N,N,N,8,11,N,10,12,15,N,N,7,5,N,11,N,N,8,13,N,N,N,N,N,3,14,16,8,0,10,N,10,11,4,N,N,8,N,9
62,N,N,11,3,10,5,N,9,N,N,N,N,10,9,9,0,8,11,6,5,N,0,8,7,N,6,N,N,N,N,5,5,N,4,9,14,13,6,N,7,N,N,5,13,4,10,11,N,13,5,11,5,13,11,N,N,9,N,0,7,7,N,N,N,7,11,N,10,10,13,N,N,7,3,N,12,N,N,3,13,N,N,N,N,N,0,14,15,9,9,9,N,10,10,5,N,N,8,N,9
63,N,N,11,4,10,6,N,8,N,N,N,N,8,7,8,4,8,12,6,7,N,6,2,6,N,5,N,N,N,N,7,6,N,6,9,13,14,7,N,7,N,N,4,14,2,11,12,N,14,4,9,0,10,12,N,N,10,N,4,0,9,N,N,N,8,10,N,9,11,16,0,N,5,0,N,11,N,N,7,0,N,N,N,N,N,4,14,15,10,8,11,N,11,10,3,N,N,8,N,9
64,N,N,12,5,11,7,N,9,N,N,0,N,9,8,9,5,9,13,7,8,N,7,3,7,N,6,N,N,N,N,8,7,N,7,10,14,15,8,N,8,N,N,5,15,3,12,13,N,15,5,10,1,11,13,N,N,11,N,5,1,10,N,N,N,9,11,N,10,12,17,1,N,6,1,N,12,0,N,8,1,N,N,N,0,0,5,15,16,11,9,12,N,12,11,4,N,N,9,N,10
65,N,N,12,2,8,4,N,9,N,N,N,0,10,9,10,4,7,13,6,6,1,0,5,0,0,6,N,N,N,N,8,4,N,5,9,14,14,8,N,6,N,N,5,14,0,10,12,N,14,3,11,1,13,13,7,N,10,N,5,5,8,N,N,N,8,11,N,9,11,16,N,N,7,5,N,12,N,N,8,13,N,N,N,N,N,3,13,14,9,8,11,N,10,10,2,N,N,7,N,10
66,N,N,12,1,9,5,N,10,N,N,N,N,10,8,10,7,7,12,5,6,N,6,7,8,N,5,N,N,0,N,0,4,N,5,10,12,14,8,N,7,N,N,3,14,0,11,13,N,13,5,11,3,12,11,N,N,10,N,3,6,8,N,N,N,8,12,N,8,10,16,N,N,8,5,N,8,N,N,9,11,N,N,N,N,N,3,14,15,8,0,11,N,10,11,5,N,N,6,N,10
67,0,N,12,3,9,5,1,8,N,N,N,N,7,9,9,7,6,13,6,5,2,0,0,9,N,7,N,N,0,N,8,4,N,3,10,13,14,7,N,4,N,N,5,0,1,11,13,N,13,5,9,5,13,12,6,N,9,N,6,4,8,N,N,N,8,11,N,7,11,17,N,N,7,4,N,12,N,0,8,14,N,N,N,N,N,0,14,15,7,8,10,N,10,10,3,N,N,4,N,1
68,N,N,12,4,9,6,N,0,N,N,0,N,0,8,9,5,8,12,6,6,N,7,4,7,N,1,N,N,N,N,6,6,N,5,10,13,15,8,N,7,N,N,4,14,3,9,12,N,13,6,11,1,11,11,N,N,10,0,5,5,8,N,0,N,7,11,N,9,12,15,N,N,8,1,N,11,N,N,6,10,N,N,0,N,N,3,13,15,8,9,10,N,10,9,4,N,N,8,N,9
69,N,N,11,3,10,4,N,9,N,N,N,N,6,8,9,7,8,12,3,6,N,7,7,0,N,6,N,N,N,N,3,6,N,6,10,14,0,7,N,7,N,N,6,13,0,9,13,N,12,5,11,0,13,10,7,N,10,N,2,7,9,N,N,N,8,9,N,9,12,16,N,N,8,5,N,9,N,0,8,11,N,N,N,0,N,1,14,15,7,9,9,N,7,8,5,0,N,0,N,10
70,N,N,11,3,7,6,N,9,N,N,N,N,6,8,9,7,8,10,2,7,N,5,6,8,N,1,N,N,N,0,8,2,0,4,9,12,14,6,N,1,0,N,3,1,3,11,13,N,14,3,12,3,13,13,N,N,10,N,4,6,8,N,N,N,9,10,N,7,0,15,N,1,7,6,N,11,N,N,0,12,N,N,N,N,N,1,13,13,9,9,11,N,10,10,5,0,N,7,N,9
71,N,N,12,3,10,1,0,9,N,N,N,N,9,9,9,6,9,13,2,7,N,7,8,8,N,7,N,N,N,N,7,1,0,5,9,14,14,8,N,7,N,N,1,12,4,11,13,N,13,6,11,4,13,12,N,N,9,N,4,6,8,N,N,N,8,12,N,10,12,17,N,1,7,4,N,11,N,1,8,14,N,N,N,N,N,2,15,15,8,9,10,N,8,9,6,N,N,7,N,9
72,N,N,12,3,9,6,1,9,N,N,N,N,10,2,8,9,0,0,4,1,N,1,7,8,N,7,N,N,N,N,3,5,N,5,10,15,14,6,N,4,N,N,0,14,5,11,12,N,13,6,11,6,13,11,N,N,1,N,1,6,8,N,N,N,8,12,N,11,12,17,N,N,7,3,N,12,0,N,5,12,2,N,N,1,0,3,14,0,9,9,10,N,10,10,5,N,N,9,N,10
73,N,N,13,2,9,6,N,8,N,N,N,N,9,7,8,4,7,12,5,6,N,2,5,8,N,6,N,N,N,N,7,2,N,4,10,13,15,7,N,7,N,N,4,14,0,0,13,N,13,4,11,4,13,12,N,N,8,N,3,5,7,N,N,N,8,11,N,9,12,16,N,N,7,1,N,12,N,N,8,13,N,N,N,N,N,4,13,15,8,7,10,N,10,0,4,N,N,8,N,10
74,N,N,10,4,6,0,N,6,N,N,N,N,5,6,8,5,8,13,1,6,N,0,8,7,N,7,N,N,N,N,8,5,1,5,10,14,14,4,N,7,N,N,6,0,4,10,12,N,10,6,9,3,12,9,N,N,8,N,3,6,9,0,N,N,0,9,N,9,9,17,N,N,8,5,N,10,N,N,0,13,N,N,N,N,N,5,13,13,9,8,8,N,8,4,6,N,N,6,N,8
75,N,N,11,5,7,4,N,9,N,N,N,N,6,8,0,6,0,7,0,5,N,2,7,8,N,5,N,N,N,N,8,4,N,7,9,14,14,3,N,6,N,N,6,7,1,11,12,N,12,6,8,5,0,7,10,N,1,N,4,7,9,3,N,N,4,9,N,9,11,14,N,N,7,0,N,11,0,N,2,13,N,N,N,N,N,5,13,13,8,1,8,N,8,5,4,N,N,8,N,9
76,N,N,9,4,9,7,N,7,N,N,N,N,2,8,7,8,6,9,2,7,N,3,4,6,N,5,N,N,N,N,8,4,0,5,7,14,12,0,N,1,N,N,6,5,3,9,0,N,11,3,6,1,11,10,N,N,9,N,0,6,8,N,N,N,5,10,N,9,8,16,N,N,4,2,N,12,N,N,2,12,N,N,N,N,N,3,14,12,8,5,8,N,8,7,0,N,N,4,N,7
77,N,N,13,4,7,5,N,9,N,N,N,N,9,5,7,9,8,11,3,4,N,4,8,8,N,7,N,N,N,N,6,4,N,3,8,14,14,4,N,6,N,N,3,14,4,7,12,N,11,6,10,4,12,8,N,N,6,N,4,7,8,1,N,N,2,9,N,8,12,12,N,N,7,5,N,7,N,N,1,13,N,N,N,N,N,5,12,11,8,8,8,N,9,7,5,N,N,7,N,9
78,N,13,0,4,0,3,N,10,2,N,N,N,7,9,1,8,6,13,4,3,N,8,6,1,N,7,N,N,N,3,4,7,N,6,11,15,1,7,N,8,N,N,7,3,1,10,1,N,5,4,12,1,10,8,1,N,8,N,3,6,7,N,N,0,6,10,N,8,13,16,N,N,0,2,N,10,N,1,9,4,N,N,N,1,N,2,13,15,4,10,6,N,8,9,6,1,0,1,N,8
79,N,N,10,5,5,6,N,7,N,N,N,N,6,8,9,6,6,10,3,3,N,1,8,8,N,6,N,N,N,N,0,5,N,6,9,14,14,4,N,7,N,N,5,11,5,11,10,N,11,6,8,5,13,10,N,N,9,N,4,7,9,N,N,N,2,7,N,9,0,17,N,N,6,3,N,11,N,N,2,13,N,N,N,N,N,4,11,12,9,9,8,N,6,10,6,N,N,7,N,9
80,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
